DATE,DAY,FLIGHT NUMBER,ORIGIN,DEPARTURE TIME,ARRIVAL TIME,ARRIVAL STATUS,previous_flight_status
03/02/2017,Thursday,B6 656,MCO,900,1063,2,0
03/02/2017,Thursday,B6 1816,JFK,-61,8,1,0
03/02/2017,Thursday,B6 316,JFK,585,666,2,1
03/02/2017,Thursday,B6 116,JFK,779,854,1,2
03/02/2017,Thursday,OO 5520,ORD,885,998,1,0
03/02/2017,Thursday,OO 5450,ORD,1127,1236,0,1
03/02/2018,Friday,B6 656,MCO,1163,1326,1,0
03/02/2018,Friday,B6 1816,JFK,-70,2,2,0
03/02/2018,Friday,B6 116,JFK,438,509,1,2
03/02/2018,Friday,9E 4082,JFK,575,663,2,1
03/02/2018,Friday,B6 2516,JFK,1000,1078,2,2
03/02/2018,Friday,9E 4074,JFK,1027,1116,2,2
03/02/2018,Friday,9E 4081,JFK,1265,1343,2,2
03/02/2018,Friday,OO 3188,ORD,-75,32,1,0
03/02/2018,Friday,YX 3727,ORD,490,603,0,1
03/02/2018,Friday,OO 3193,ORD,765,873,2,0
03/02/2018,Friday,OO 3026,ORD,1195,1309,2,2
03/02/2019,Saturday,B6 656,MCO,1260,1424,1,0
03/02/2019,Saturday,B6 116,JFK,458,534,1,0
03/02/2019,Saturday,9E 3401,JFK,581,658,1,1
03/02/2019,Saturday,9E 3404,JFK,1005,1090,0,1
03/02/2019,Saturday,B6 2516,JFK,1036,1114,1,0
03/02/2019,Saturday,9E 3290,JFK,1320,1406,0,1
03/02/2019,Saturday,OO 5389,ORD,465,579,0,0
03/02/2019,Saturday,OO 5668,ORD,900,1012,0,0
03/02/2019,Saturday,UA 607,ORD,1140,1245,1,0
03/02/2022,Wednesday,B6 656,MCO,675,840,2,0
03/02/2022,Wednesday,B6 116,JFK,564,641,2,0
03/02/2022,Wednesday,9E 5446,JFK,750,825,0,2
03/02/2022,Wednesday,OO 3253,ORD,820,929,0,0
03/02/2022,Wednesday,YX 3467,ORD,885,1001,0,0
03/02/2022,Wednesday,UA 1094,ORD,1150,1259,0,0
03/02/2023,Thursday,B6 56,MCO,847,1011,2,0
03/02/2023,Thursday,9E 5350,JFK,590,678,1,0
03/02/2023,Thursday,B6 116,JFK,810,883,1,1
03/02/2023,Thursday,9E 5224,JFK,990,1079,0,1
03/02/2023,Thursday,B6 16,JFK,1295,1367,1,0
